,Construct,Name,OK_seq
b15H8,pTF1.c71gal.10L02,c71gal.10L02,unknown
b15H9,pTF1.c71gal.10L03,c71gal.10L03,unknown
b15I1,pTF1.c71gal.10L04,c71gal.10L04,unknown
b15I2,pTF1.c71gal.10L05,c71gal.10L05,unknown
b15I3,pTF1.c71gal.10L06,c71gal.10L06,unknown
b15I4,pTF1.c71gal.10L07,c71gal.10L07,unknown
b15I5,pTF1.c71gal.10L08,c71gal.10L08,unknown
b15I6,pTF1.c71gal.10L09,c71gal.10L09,unknown
b15I7,pTF1.c71gal.10L10,c71gal.10L10,unknown
b15I8,pTF1.c71gal.10L11,c71gal.10L11,unknown
b15I9,pTF1.c71gal.10L12,c71gal.10L12,unknown
b16A1,pTF1.c71gal.10L13,c71gal.10L13,unknown
b16A2,pTF1.c71gal.10L14,c71gal.10L14,unknown
b16A3,pTF1.c71gal.10L15,c71gal.10L15,unknown
b16A4,pTF1.c71gal.10L16,c71gal.10L16,unknown
b16A5,pTF1.c71gal.10L17,c71gal.10L17,unknown
b16A6,pTF1.c71gal.10L18,c71gal.10L18,unknown
b16A7,pTF1.c71gal.10L19,c71gal.10L19,unknown
b16A8,pTF1.c71gal.10L20,c71gal.10L20,unknown
b16A9,pTF1.c82gal.A,c82gal.wtA,unknown
b16B1,pTF1.c82gal.B,c82gal.wtB,unknown
b16B2,pTF1.c82gal.10L01,c82gal.10L01,unknown
b16B3,pTF1.c82gal.10L02,c82gal.10L02,unknown
b16B4,pTF1.c82gal.10L03,c82gal.10L03,unknown
b16B5,pTF1.c82gal.10L04,c82gal.10L04,unknown
b16B6,pTF1.c82gal.10L05,c82gal.10L05,unknown
b16B7,pTF1.c82gal.10L06,c82gal.10L06,unknown
b16B8,pTF1.c82gal.10L07,c82gal.10L07,unknown
b16B9,pTF1.c82gal.10L08,c82gal.10L08,unknown
b16C1,pTF1.c82gal.10L09,c82gal.10L09,unknown
b16C2,pTF1.c82gal.10L10,c82gal.10L10,unknown
b16C3,pTF1.c82gal.10L11,c82gal.10L11,unknown
b16C4,pTF1.c82gal.10L12,c82gal.10L12,unknown
b16C5,pTF1.c82gal.10L13,c82gal.10L13,unknown
b16C6,pTF1.c82gal.10L14,c82gal.10L14,unknown
b16C7,pTF1.c82gal.10L15,c82gal.10L15,unknown
b16C8,pTF1.c82gal.10L16,c82gal.10L16,unknown
b16C9,pTF1.c82gal.10L17,c82gal.10L17,unknown
b16D1,pTF1.c82gal.10L18,c82gal.10L18,unknown
b16D2,pTF1.c82gal.10L19,c82gal.10L19,unknown
b16D3,pTF1.c82gal.10L20,c82gal.10L20,unknown
b16D4,pTF1.c60gal.A,c60gal.wtA,unknown
b16D5,pTF1.c60gal.B,c60gal.wtB,unknown
b16D6,pTF1.c60gal.10L01,c60gal.10L01,unknown
b16D7,pTF1.c60gal.10L02,c60gal.10L02,unknown
b16D8,pTF1.c60gal.10L03,c60gal.10L03,unknown
b16D9,pTF1.c60gal.10L04,c60gal.10L04,unknown
b16E1,pTF1.c60gal.10L05,c60gal.10L05,unknown
b16E2,pTF1.c60gal.10L06,c60gal.10L06,unknown
b16E3,pTF1.c60gal.10L07,c60gal.10L07,unknown
b16E4,pTF1.c60gal.10L08,c60gal.10L08,unknown
b16E5,pTF1.c60gal.10L09,c60gal.10L09,unknown
b16E6,pTF1.c60gal.10L10,c60gal.10L10,unknown
b16E7,pTF1.c60gal.10L11,c60gal.10L11,unknown
b16E8,pTF1.c60gal.10L12,c60gal.10L12,unknown
b16E9,pTF1.c60gal.10L13,c60gal.10L13,unknown
b16F1,pTF1.c60gal.10L14,c60gal.10L14,unknown
b16F2,pTF1.c60gal.10L15,c60gal.10L15,unknown
b16F3,pTF1.c60gal.10L16,c60gal.10L16,unknown
b16F4,pTF1.c60gal.10L17,c60gal.10L17,unknown
b16F5,pTF1.c60gal.10L18,c60gal.10L18,unknown
b16F6,pTF1.c60gal.10L19,c60gal.10L19,unknown
b16F7,pTF1.c60gal.10L20,c60gal.10L20,unknown
b16F8,pTF1.Ellinger.r17wt.A,Ellinger.r17.A,unknown
b16F9,pTF1.Ellinger.r17wt.B,Ellinger.r17.B,unknown
b16G1,pTF1.Ellinger.r17.10L01,Ellinger.r17.10L01,unknown
b16G2,pTF1.Ellinger.r17.10L02,Ellinger.r17.10L02,unknown
b16G3,pTF1.Ellinger.r17.10L03,Ellinger.r17.10L03,unknown
b16G4,pTF1.Ellinger.r17.10L04,Ellinger.r17.10L04,unknown
b16G5,pTF1.Ellinger.r17.10L05,Ellinger.r17.10L05,unknown
b16G6,pTF1.Ellinger.r17.10L06,Ellinger.r17.10L06,unknown
b16G7,pTF1.Ellinger.r17.10L07,Ellinger.r17.10L07,unknown
b16G8,pTF1.Ellinger.r17.10L08,Ellinger.r17.10L08,unknown
b16G9,pTF1.Ellinger.r17.10L09,Ellinger.r17.10L09,unknown
b16H1,pTF1.Ellinger.r17.10L10,Ellinger.r17.10L10,unknown
b16H2,pTF1.Ellinger.r17.10L11,Ellinger.r17.10L11,unknown
b16H3,pTF1.Ellinger.r17.10L12,Ellinger.r17.10L12,unknown
b16H4,pTF1.Ellinger.r17.10L13,Ellinger.r17.10L13,unknown
b16H5,pTF1.Ellinger.r17.10L14,Ellinger.r17.10L14,unknown
b16H6,pTF1.Ellinger.r17.10L15,Ellinger.r17.10L15,unknown
b16H7,pTF1.Ellinger.r17.10L16,Ellinger.r17.10L16,unknown
b16H8,pTF1.Ellinger.r18wt.A,Ellinger.r18.A,unknown
b16H9,pTF1.Ellinger.r18wt.B,Ellinger.r18.B,unknown
b16I1,pTF1.Ellinger.r18.10L01,Ellinger.r18.10L01,unknown
b16I2,pTF1.Ellinger.r18.10L02,Ellinger.r18.10L02,unknown
b16I3,pTF1.Ellinger.r18.10L03,Ellinger.r18.10L03,unknown
b16I4,pTF1.Ellinger.r18.10L04,Ellinger.r18.10L04,unknown
b16I5,pTF1.Ellinger.r18.10L05,Ellinger.r18.10L05,unknown
b16I6,pTF1.Ellinger.r18.10L06,Ellinger.r18.10L06,unknown
b16I7,pTF1.Ellinger.r18.10L07,Ellinger.r18.10L07,unknown
b16I8,pTF1.Ellinger.r18.10L08,Ellinger.r18.10L08,unknown
b16I9,pTF1.Ellinger.r18.10L09,Ellinger.r18.10L09,unknown
b17A1,pTF1.Ellinger.r18.10L10,Ellinger.r18.10L10,unknown
b17A2,pTF1.Ellinger.r18.10L11,Ellinger.r18.10L11,unknown
b17A3,pTF1.Ellinger.r18.10L12,Ellinger.r18.10L12,unknown
b17A4,pTF1.Ellinger.r18.10L13,Ellinger.r18.10L13,unknown
b17A5,pTF1.Ellinger.r18.10L14,Ellinger.r18.10L14,unknown
b17A6,pTF1.Ellinger.r18.10L15,Ellinger.r18.10L15,unknown
b17A7,pTF1.Ellinger.r18.10L16,Ellinger.r18.10L16,unknown
b17A8,pTF1.Adhya.wt.A,Adhya.wt.A,unknown
b17A9,pTF1.Adhya.wt.B,Adhya.wt.B,unknown
b17B1,pTF1.Adhya.10cons.A,Adhya.10c.A,unknown
b17B2,pTF1.Adhya.10cons.B,Adhya.10c.B,unknown
b17B3,pTF1.Adhya.35cons.A,Adhya.35c.A,unknown
b17B4,pTF1.Adhya.35cons.B,Adhya.35c.B,unknown
b17B5,pTF1.Adhya.10c35c.A,Adhya.10c35c.A,unknown
b17B6,pTF1.Adhya.10c35c.B,Adhya.10c35c.B,unknown
b17B7,pTF1.c51r18.A,c51r18.A,unknown
b17B8,pTF1.c51r18.B,c51r18.B,unknown
b17B9,pTF1.c52r18.A,c52r18.A,unknown
b17C1,pTF1.c52r18.B,c52r18.B,unknown
b17C2,pTF1.c53r18.A,c53r18.A,unknown
b17C3,pTF1.c53r18.B,c53r18.B,unknown
b17C4,pTF1.c54r18.A,c54r18.A,unknown
b17C5,pTF1.c54r18.B,c54r18.B,unknown
b17C6,pTF1.c55r18.A,c55r18.A,unknown
b17C7,pTF1.c55r18.B,c55r18.B,unknown
b17C8,pTF1.c56r18.A,c56r18.A,unknown
b17C9,pTF1.c56r18.B,c56r18.B,unknown
b17D1,pTF1.c57r18.A,c57r18.A,unknown
b17D2,pTF1.c57r18.B,c57r18.B,unknown
b17D3,pTF1.c58r18.A,c58r18.A,unknown
b17D4,pTF1.c58r18.B,c58r18.B,unknown
b17D5,pTF1.c59r18.A,c59r18.A,unknown
b17D6,pTF1.c59r18.B,c59r18.B,unknown
b17D7,pTF1.c63r18.A,c63r18.A,unknown
b17D8,pTF1.c63r18.B,c63r18.B,unknown
b17D9,pTF1.63c-r18.A,63c-r18.A,unknown
b17E1,pTF1.63c-r18.B,63c-r18.B,unknown
b17E2,pTF1.c64r18.A,c64r18.A,unknown
b17E3,pTF1.c64r18.B,c64r18.B,unknown
b17E4,pTF1.64c-r18.A,64c-r18.A,unknown
b17E5,pTF1.64c-r18.B,64c-r18.B,unknown
b17E6,pTF1.c65r18.A,c65r18.A,unknown
b17E7,pTF1.c65r18.B,c65r18.B,unknown
b17E8,pTF1.65c-r18.A,65c-r18.A,unknown
b17E9,pTF1.65c-r18.B,65c-r18.B,unknown
b17F1,pTF1.c87r18.A,c87r18.A,unknown
b17F2,pTF1.c92r18.A,c92r18.A,unknown
b17F3,pTF1.c92r18.B,c92r18.B,unknown
b17F4,pTF1.c97r18.A,c97r18.A,unknown
b17F5,pTF1.c97r18.B,c97r18.B,unknown
b17F6,pTF1.c102r18.A,c102r18.A,unknown
b17F7,pTF1.c102r18.B,c102r18.B,unknown
b17F8,pTF1.c103r18.A,c103r18.A,unknown
b17F9,pTF1.c103r18.B,c103r18.B,unknown
b17G1,pTF1.c104r18.A,c104r18.A,unknown
b17G2,pTF1.Ellinger.mod.r18wt.A,Ellinger.mod.r18.A,unknown
b17G3,pTF1.Ellinger.mod.r18wt.B,Ellinger.mod.r18.B,unknown
b17G4,,,
b17G5,,,
b17G6,,,
b17G7,,,
b17G8,,,
b17G9,,,
b17H1,,,
b17H2,,,
b17H3,,,
b17H4,,,
b17H5,,,
b17H6,,,
b17H7,,,
b17H8,,,
b17H9,,,
b17I1,,,
b17I2,,,
b17I3,,,
b17I4,,,
b17I5,,,
b17I6,,,
b17I7,,,
b17I8,,,
b17I9,,,
