run	log_tbg	log_alphap	log_betap	b13H4_log_P	b13H4_weight	b13H5_log_P	b13H5_weight	b13H6_log_P	b13H6_weight	b13H7_log_P	b13H7_weight	b13H8_log_P	b13H8_weight	b13H9_log_P	b13H9_weight	b13I1_log_P	b13I1_weight	b13I3_log_P	b13I3_weight	b13I4_log_P	b13I4_weight	b13I5_log_P	b13I5_weight	b13I7_log_P	b13I7_weight	b13I8_log_P	b13I8_weight	b13I9_log_P	b13I9_weight	b14A1_log_P	b14A1_weight	b14A2_log_P	b14A2_weight	b14A4_log_P	b14A4_weight	b14A5_log_P	b14A5_weight	b14A6_log_P	b14A6_weight	b14A7_log_P	b14A7_weight	b3G7_log_P	b3G7_weight
samp_26	-6.505397261093319	3.0734972681986603	-0.16411094307913418		0.0	-6.948836507720013	3.0	-7.528042737391472	1.0		0.0	-7.39902551686883	3.0		0.0	-10.349825864496944	1.0	-5.977834566357829	1.0	-2.962293208825923	1.0		0.0		0.0		0.0	-12.500256203126877	2.0	0.6485467015613668	1.0	-4.6839381989184785	1.0		0.0	-4.401543070776525	2.0	-7.395027597072492	1.0	-9.044815349371937	1.0	-4.631685889691779	2.0
samp_27	-6.424258130540714	2.9947947981998344	-0.1743433315316388	-8.921112190598043	2.0		0.0	-7.484985760655814	1.0		0.0	-7.354747989974322	1.0	-7.797068135216332	3.0		0.0		0.0	-2.944275398478745	2.0	-5.258453979664242	2.0	-4.3234917162211355	2.0		0.0	-12.560969049591161	1.0	0.6518298698649412	1.0	-4.646321245112587	1.0	-5.210550291468866	1.0	-4.365357121427924	1.0	-7.350820043425764	1.0		0.0	-4.593811736317147	1.0
samp_28	-6.321433535936316	3.435577533429963	-0.5025623654222232	-9.04574675055864	2.0		0.0		0.0	-10.143116603437557	2.0	-7.4238277258812495	1.0		0.0		0.0		0.0	-2.8793094534996633	2.0	-5.292087535070159	1.0		0.0	-11.225128236222455	1.0	-12.901808061588364	1.0		0.0	-4.660194036965826	4.0	-5.244187732491886	1.0	-4.373868077362774	2.0	-7.420131148596935	1.0	-9.114176158126986	2.0		0.0
samp_29	-6.439190318678818	2.988600705844708	-0.10816069380392256	-8.964616301397873	2.0		0.0		0.0	-10.072860621386821	1.0	-7.38786704231337	2.0	-7.8317611601195125	2.0	-10.353096461672394	1.0	-5.966295208655138	3.0		0.0	-5.289192073604796	1.0		0.0		0.0	-12.588208350694957	1.0	0.6376763866425856	3.0		0.0	-5.241179827740234	1.0		0.0		0.0	-9.040386628871861	3.0		0.0
samp_30	-5.937906803938745	3.82909146717497	-0.6486273060613887	-9.40826171217053	1.0	-7.131491064669182	2.0		0.0	-10.44367085668686	1.0	-7.61236638122604	3.0	-8.095829279733747	1.0		0.0		0.0	-2.872205198555366	1.0		0.0		0.0	-11.906322734895108	1.0		0.0		0.0		0.0	-5.3452774402516505	1.0	-4.438772999251596	4.0	-7.610209423183231	2.0	-9.440744868079207	3.0		0.0
samp_31	-6.210704692526186	3.149117159156275	-0.18588072217797383		0.0		0.0		0.0	-10.194862480313173	2.0	-7.453933992870005	1.0		0.0	-10.547472351117602	2.0	-6.011030445557421	1.0	-2.965425780124518	1.0	-5.326777396936866	1.0	-4.37961993762225	4.0	-11.36155745302196	1.0		0.0	0.651368054019089	2.0	-4.7067076137909885	3.0	-5.2784202749488065	2.0		0.0		0.0		0.0		0.0
samp_32	-6.373766114852995	3.106717170271284	-0.19231669310853983	-9.013484305917203	1.0		0.0		0.0	-10.115710318777786	1.0		0.0	-7.859357308227726	1.0	-10.418861043443641	1.0		0.0	-2.955726278421204	2.0	-5.3015863207862886	1.0	-4.358972005706177	1.0		0.0		0.0	0.6534026362493209	2.0	-4.684464235506708	1.0	-5.253497971673417	2.0	-4.401414093226302	1.0	-7.407793658755468	3.0	-9.085107440098122	2.0	-4.632375903391973	1.0
samp_33	-6.001020124886366	3.044498230238085	-0.1543831714892243	-9.12224444675824	1.0	-6.968391998547499	1.0	-7.5942656425092725	1.0		0.0		0.0	-7.893648905137636	2.0	-10.585188679028079	1.0		0.0	-2.962983298214067	1.0	-5.298072684322705	1.0	-4.355925362328428	1.0	-11.503165875035418	1.0	-18.241856764350633	1.0	0.6466184965345708	2.0	-4.681239716770281	2.0	-5.249521270856729	1.0	-4.398092927320074	1.0	-7.42885353986024	2.0	-9.172993652513115	1.0		0.0
samp_34	-6.569728201057933	3.072027469712476	-0.1566139148306809	-8.95152626018414	1.0	-6.949139666679484	2.0		0.0	-10.06984857925892	2.0		0.0	-7.838707340152554	2.0	-10.324562104216088	2.0	-5.97972620431888	1.0	-2.9651856763137867	1.0	-5.301535775435522	1.0	-4.362130671610297	1.0		0.0	-12.409711739990987	1.0	0.6468726102564323	2.0	-4.686687209829341	1.0		0.0	-4.404359710132873	2.0	-7.3939086787824095	1.0		0.0		0.0
samp_35	-5.4209370565196515	3.4324088880772994	-0.38708179384192	-9.469499477194406	1.0		0.0	-7.852398985293869	1.0		0.0	-7.606177925124551	1.0	-8.102906632309596	1.0		0.0		0.0		0.0	-5.372163399750169	4.0	-4.394013474952878	3.0	-13.435070556891464	1.0		0.0		0.0	-4.730431518327762	1.0	-5.322087060077754	1.0	-4.438585616269455	5.0	-7.606376818183766	1.0		0.0		0.0
