run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B5_log_P	b2B5_weight
samp_50	-1.2811390260379576	-4.995290130984205	1.0		0.0	-4.836082399456443	2.0	-4.624564626539921	2.0	-0.6202280864528457	3.0	-4.688825811802562	1.0		0.0		0.0		0.0	-4.158371094142706	1.0	-4.577905217309451	2.0		0.0	-4.7045830273726486	2.0		0.0	-4.991987765186862	1.0
samp_51	-1.4052305518884909		0.0	-2.311468888732072	1.0		0.0	-4.585980953603349	2.0		0.0	-4.648549539735496	1.0	-4.765071056658546	3.0		0.0	-1.6209084799572098	2.0	-4.126782585674338	2.0		0.0		0.0	-4.663524762222872	1.0	-0.3429515913572511	1.0	-4.948661053943706	2.0
samp_52	-1.0174809979947972	-5.079629847857835	1.0	-2.291461840291791	1.0	-4.917583705531206	1.0	-4.7013025460145785	1.0		0.0		0.0		0.0		0.0	-1.5958074213151334	1.0	-4.218828569121906	1.0	-4.652508898623906	1.0	-7.525935793280205	3.0	-4.786987412791683	4.0	-0.34610520771493836	1.0		0.0
samp_53	-1.6744703065129012		0.0	-2.3154918498406745	3.0	-4.702747642621355	2.0	-4.497312476032509	2.0	-0.6265217188382374	3.0	-4.556558314119424	1.0	-4.673614557182393	1.0		0.0		0.0	-4.051920375326807	1.0		0.0	-7.222631553787421	1.0		0.0	-0.33895457641139387	1.0		0.0
samp_54	-1.1098115117495024		0.0	-2.2972846941873906	2.0		0.0		0.0	-0.6173477019846858	1.0		0.0	-4.857968776725074	1.0	-5.191046996928702	2.0		0.0		0.0	-4.62726763495011	1.0	-7.484081846075431	3.0	-4.758926730834653	2.0	-0.34555068430773944	3.0		0.0
samp_55	-1.7956715641268541	-4.813963687895533	2.0	-2.3136453324757364	2.0		0.0	-4.455490830889828	1.0		0.0		0.0	-4.630673320660579	1.0	-4.948973919055953	2.0	-1.6421089803496904	1.0	-4.01566455600553	3.0	-4.412312181825522	1.0		0.0	-4.526100126720815	1.0	-0.33643061434691796	1.0		0.0
samp_56	-0.9189959805557752		0.0	-2.2848131067491244	1.0		0.0	-4.727983948117372	1.0	-0.6143081668567936	2.0	-4.79765012897979	1.0	-4.913211803873182	1.0		0.0		0.0	-4.238967692664803	1.0	-4.6783308236402	1.0	-7.570099737967318	3.0	-4.815924397508341	3.0		0.0	-5.1106369121869095	1.0
samp_57	-1.0535051682591057	-5.068504857141032	1.0	-2.2938098554816135	2.0	-4.906862214763855	2.0		0.0		0.0	-4.758838154561052	2.0	-4.874674629647192	1.0		0.0	-1.59812424683172	1.0		0.0		0.0	-7.509649997235104	2.0	-4.776143852177449	3.0	-0.34589805935691686	1.0		0.0
samp_58	-1.3374916055730732		0.0		0.0		0.0	-4.607214153815307	3.0		0.0	-4.6707050319190015	1.0		0.0	-5.114696028013245	2.0	-1.6165799321795205	1.0	-4.144263545773271	2.0	-4.560975102434639	1.0	-7.379467982092417	2.0		0.0	-0.3436793273419152	2.0	-4.972464133328545	1.0
samp_59	-1.2515420631573693		0.0	-2.305086140901965	1.0	-4.845573439414914	2.0	-4.633546786413228	2.0		0.0	-4.698222230561214	2.0		0.0	-5.144052410044818	1.0		0.0	-4.165617779880996	3.0		0.0		0.0	-4.714174069020008	2.0		0.0	-5.002138251683909	2.0
samp_60	-0.9853204031818472	-5.089418737352488	1.0		0.0		0.0		0.0		0.0	-4.778754358810835	2.0	-4.894466627631236	1.0	-5.230782876823221	1.0		0.0		0.0	-4.661066086865636	4.0		0.0	-4.796550216413658	2.0		0.0	-5.089855739877685	4.0
samp_61	-1.9000449431001742		0.0	-2.309985313323876	4.0	-4.62118919361064	2.0	-4.418684591282844	1.0		0.0	-4.4754406434479135	1.0	-4.592959400641729	1.0	-4.909460934674431	1.0		0.0	-3.983305591812184	2.0	-4.3760922837113325	2.0		0.0		0.0	-0.33380078267936003	1.0		0.0
samp_62	-1.0475639404977026		0.0		0.0	-4.908643200229825	1.0	-4.692933755597244	1.0	-0.6163259515994961	1.0	-4.760597002396382	1.0	-4.876422684913879	1.0	-5.211097611037682	2.0	-1.5977301520745835	1.0	-4.212398997598103	1.0		0.0	-7.512341199317466	1.0	-4.77794181523399	2.0	-0.34593011778731053	1.0	-5.069953095492659	2.0
samp_63	-1.64669512989834	-4.8683935241503935	1.0	-2.315577290272847	3.0		0.0	-4.506735269501089	1.0	-0.626121124751313	1.0		0.0	-4.683307452374188	1.0	-5.004368059336518	1.0	-1.6350378990946488	1.0	-4.06001373852734	1.0	-4.462640775829663	1.0	-7.235587065778811	1.0		0.0	-0.3394680844201803	2.0	-4.86098792957567	1.0
samp_64	-1.265804082757968		0.0	-2.305769043640347	2.0	-4.841010886425883	3.0		0.0	-0.6199562362789997	2.0		0.0		0.0		0.0	-1.6119559727521973	1.0	-4.162140350280418	1.0	-4.582461368572045	1.0	-7.412584696318683	2.0	-4.709550205365953	1.0	-0.3443577705313679	1.0	-4.997247481089013	1.0
samp_65	-1.738718372592332		0.0	-2.314816122369255	2.0	-4.679842447950231	1.0	-4.475276506777895	1.0	-0.6273781743431812	1.0		0.0		0.0	-4.9702999840121	1.0	-1.6396032832804908	1.0	-4.03288686284895	3.0	-4.431765200434222	2.0	-7.192658987201647	1.0	-4.54683137328638	1.0	-0.33768050047599185	1.0		0.0
samp_66	-1.3884097177405468		0.0	-2.310897801642016	2.0	-4.801005490482578	1.0	-4.591271706561754	1.0		0.0		0.0	-4.770570805279685	1.0		0.0		0.0	-4.131170706819467	2.0	-4.545415216597804	2.0	-7.355869453253411	3.0		0.0	-0.34314648014126314	2.0	-4.9545927253817785	1.0
samp_67	-1.371899065494139	-4.964780204984333	3.0	-2.3103051453556573	1.0		0.0	-4.596467612092558	1.0	-0.6217533312012464	3.0		0.0	-4.775951114329787	1.0	-5.1027727997538115	3.0	-1.6187810578203596	1.0		0.0		0.0		0.0		0.0		0.0	-4.96040989422448	2.0
samp_68	-1.3820559362246954	-4.961323838409661	3.0		0.0	-4.803113161117222	1.0	-4.593270233149899	2.0	-0.6219259519258363	2.0		0.0	-4.7726473602004305	1.0		0.0		0.0	-4.132819998480427	2.0	-4.547369647398499	1.0	-7.358819674498925	1.0	-4.671275039319156	1.0		0.0	-4.956833268369697	1.0
samp_69	-1.119827109020742	-5.047679380942056	1.0		0.0	-4.8867754382603925	1.0	-4.6724090255431925	1.0		0.0		0.0	-4.854954171980777	1.0		0.0	-1.602409708434857	2.0	-4.196465502913067	2.0		0.0	-7.479518875842349	3.0		0.0	-0.34548043654460103	2.0	-5.0463683249788405	2.0
samp_70	-1.1639660372690501		0.0	-2.300445192115907	1.0		0.0	-4.659593317069667	1.0	-0.6182533539047971	1.0	-4.725522101988469	1.0		0.0	-5.173306192007726	1.0	-1.605288132334915	1.0	-4.186387436548461	1.0		0.0		0.0	-4.742061445926116	2.0	-0.34517585758426766	5.0	-5.031720107436144	1.0
samp_71	-1.498170646041833		0.0	-2.314010320132741	1.0	-4.764073245941618	1.0		0.0		0.0		0.0	-4.734158900948573	3.0	-5.058224074355382	1.0		0.0	-4.101878564886127	3.0	-4.5109829352772355	1.0	-7.304841299692804	2.0		0.0	-0.341784534382743	2.0	-4.915395563050595	1.0
samp_72	-1.1533065692429703		0.0		0.0	-4.876469801668864	1.0	-4.662704826394064	2.0	-0.6180776500228521	2.0		0.0	-4.84482869406907	1.0	-5.176825604038888	2.0	-1.6045900448861576	1.0		0.0	-4.615044821108513	1.0		0.0	-4.7453992773725036	2.0	-0.3452459978886462	1.0	-5.035276250182894	2.0
samp_73	-1.3251532045739438	-4.980585712343423	1.0		0.0	-4.821816619367052	1.0	-4.6110411024607965	2.0	-0.6209692393685867	2.0	-4.674696356027455	1.0	-4.79106819547642	2.0		0.0		0.0	-4.1473878173042	1.0	-4.564714573069367	2.0	-7.385178181505217	1.0	-4.6901698480150165	1.0		0.0	-4.976759235409254	1.0
samp_74	-1.353398882648295		0.0	-2.309599700115879	1.0	-4.812567084110725	2.0		0.0	-0.6214470284812599	1.0	-4.665532756223155	1.0	-4.781960051840132	1.0	-5.109195591481952	2.0		0.0		0.0	-4.556145345581418	4.0		0.0	-4.680825822979455	2.0		0.0	-4.966900445578356	1.0
samp_75	-1.2414366801979726	-5.008413257774335	1.0	-2.304584933701675	1.0	-4.848796814438399	1.0		0.0	-0.6195598859095723	1.0		0.0	-4.817622785380658	1.0	-5.147466989336048	1.0		0.0		0.0	-4.589629802176143	3.0	-7.423811413024541	2.0	-4.717431578243734	1.0	-0.34456414429509413	2.0	-5.005587926806681	1.0
samp_76	-1.181218764693646	-5.028032773390687	2.0		0.0		0.0		0.0		0.0	-4.720205998912461	1.0		0.0	-5.167605620747242	1.0	-1.6064139324182427	1.0	-4.182370837101791	1.0	-4.607087415767776	2.0		0.0	-4.736626885873629	3.0	-0.3450477618932195	3.0	-5.0259435126582686	1.0
samp_77	-1.0962527210536308		0.0	-2.2964627395806585	1.0		0.0	-4.679170137031036	1.0		0.0	-4.746098445935624	1.0	-4.862020594794172	2.0		0.0	-1.6008783267207582	3.0		0.0	-4.631037255142868	2.0	-7.490252430886563	1.0	-4.763102404251018	1.0		0.0	-5.054114387307273	3.0
