run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight
samp_09	-2.0796368677584023	-5.013220441812868	1.0	-2.415664209025704	2.0	-4.749651857704854	3.0	-4.632218261236878	1.0		0.0		0.0		0.0		0.0		0.0	-4.147644983015611	2.0	-4.5788559568356435	3.0		0.0		0.0	-0.323738525152525	1.0	-3.978458344512364	2.0	-4.436272129410237	2.0	-4.928401862569459	1.0		0.0
samp_10	-1.995799036456772	-5.045930404523861	2.0		0.0	-4.7814882900088636	1.0	-4.66332022270707	2.0	-0.6453510538748188	4.0	-4.741638256222576	1.0	-4.809514903051635	1.0		0.0	-1.7107534052462323	1.0	-4.175499404382714	1.0		0.0	-7.550783728230235	1.0	-4.706904468789893	1.0	-0.32684344439623975	1.0	-4.007837256723026	1.0		0.0		0.0	-6.036351542092743	1.0
samp_11	-2.3306996312530064		0.0	-2.393996188194724	2.0	-4.652971289109406	1.0	-4.537505355509625	4.0	-0.6479617751431154	3.0		0.0	-4.681405449782502	3.0		0.0	-1.7182699909247507	1.0	-4.061566634261049	1.0		0.0		0.0		0.0	-0.3117037372614045	1.0		0.0	-4.341142238277649	1.0		0.0	-5.893810592169959	1.0
samp_12	-2.166222843330652	-4.979230751623684	2.0	-2.4096945457371017	1.0	-4.716517571494677	1.0	-4.599798835929474	1.0	-0.6474064377971481	2.0		0.0		0.0	-5.0925275679022155	1.0	-1.7168495265264911	2.0	-4.118376443810328	1.0	-4.54682729050226	3.0	-7.463373660521902	1.0		0.0		0.0		0.0	-4.4037181898837625	1.0		0.0	-5.963787686310515	2.0
samp_13	-1.6595014716468535		0.0		0.0		0.0	-4.784214051987064	2.0		0.0		0.0		0.0	-5.29039449075531	1.0	-1.6884288384562147	3.0	-4.281518926903641	1.0		0.0	-7.727644043616268	4.0	-4.8317964216443565	1.0	-0.33599926886044995	1.0	-4.12054117045724	2.0	-4.588710091487245	1.0		0.0	-6.17851649095042	2.0
samp_14	-2.1800082937786818		0.0	-2.408589843182209	2.0		0.0	-4.594604613949006	1.0	-0.6475197881707213	3.0		0.0	-4.739476737392313	2.0	-5.087039542974139	2.0	-1.7171457802046344	2.0		0.0		0.0		0.0		0.0	-0.31942229823097545	3.0	-3.9427238225670798	1.0		0.0		0.0	-5.957924304155726	2.0
samp_15	-1.8056547925759843		0.0		0.0	-4.852491371026558	1.0	-4.732515942910819	3.0		0.0	-4.8125317505890255	2.0		0.0	-5.234357577782808	2.0	-1.6994796364441385	1.0	-4.236676986895677	1.0		0.0	-7.650176202951492	3.0	-4.778276936563971	2.0		0.0	-4.072659882767615	1.0	-4.536886430798205	1.0		0.0	-6.117005110633318	1.0
samp_16	-2.0924971066972335		0.0	-2.414859666459731	1.0	-4.744751866866032	2.0	-4.627430962646271	1.0	-0.6466786521653719	1.0	-4.704949689329714	2.0	-4.772898389009241	2.0		0.0	-1.7147386408900498	1.0	-4.1433384625076135	1.0	-4.574123140166845	3.0	-7.500970601633391	1.0	-4.6699813891625155	1.0		0.0	-3.9739121692793224	1.0		0.0	-4.923307916747409	1.0		0.0
samp_17	-2.202457242771602		0.0	-2.406707689402012	2.0	-4.702577415566148	1.0		0.0		0.0	-4.662819333955973	1.0	-4.730861750585732	1.0	-5.0780821736362975	3.0	-1.717560260539835	1.0	-4.105991906600409	1.0	-4.53333407771539	2.0	-7.445012860528862	2.0	-4.627593636369864	2.0	-0.3183812244203492	2.0		0.0		0.0		0.0		0.0
samp_18	-1.8902556811838667		0.0	-2.4231182731356875	1.0		0.0	-4.701976315581649	2.0	-0.6435405176351067	1.0	-4.781220802720114	1.0	-4.849024024512303	1.0		0.0	-1.7050239942462662	1.0	-4.209823559458163	1.0	-4.647671919584114	3.0		0.0	-4.7467423006645	3.0		0.0	-4.044150902923656	1.0		0.0	-5.002553218707518	3.0		0.0
