run	log_F	b1I8_log_P	b1I8_weight	b2F5_log_P	b2F5_weight	b2G8_log_P	b2G8_weight	b2B1_log_P	b2B1_weight	b2G4_log_P	b2G4_weight	b2H8_log_P	b2H8_weight	b2A5_log_P	b2A5_weight	b2G3_log_P	b2G3_weight	b2H3_log_P	b2H3_weight	b2F3_log_P	b2F3_weight	b2G7_log_P	b2G7_weight	b2A6_log_P	b2A6_weight	b2B6_log_P	b2B6_weight	b2B4_log_P	b2B4_weight	b2B2_log_P	b2B2_weight	b2B7_log_P	b2B7_weight	b2B5_log_P	b2B5_weight	b2A2_log_P	b2A2_weight	b2B9_log_P	b2B9_weight	b2A7_log_P	b2A7_weight	b2A9_log_P	b2A9_weight	b2A4_log_P	b2A4_weight	b2A8_log_P	b2A8_weight
samp_84	0.16620334911268814	-4.951620949072206	1.0	-2.1628815300552966	1.0		0.0	-4.575218436359426	3.0	-0.5849316487925238	1.0		0.0		0.0		0.0	-1.5103377019601905	1.0	-4.100166070651014	1.0	-4.58549229170935	1.0		0.0	-4.919888803282967	3.0		0.0	-4.204878010723887	1.0		0.0	-5.272367201757986	1.0	-6.295904628008168	3.0	-9.777673045252625	2.0	-10.020126320188654	1.0		0.0	-5.339325862010396	1.0	-9.944031448260233	2.0
samp_85	-0.015042695730316207		0.0	-2.1684556958526664	3.0	-4.7842275447320155	2.0	-4.549959717421034	2.0		0.0		0.0		0.0	-5.145557628908848	2.0	-1.5139065580722357	2.0		0.0		0.0	-7.7475850920433995	1.0		0.0	-0.34478750330376606	1.0		0.0	-4.6666540465999695	1.0	-5.2373586704340465	3.0	-6.252329291009206	1.0	-9.692544118727328	1.0	-9.936060886221956	2.0		0.0	-5.305105508128167	2.0		0.0
samp_86	0.06624423335396525	-4.935308338217884	3.0	-2.165894394732504	1.0		0.0		0.0	-0.584926620995085	2.0		0.0	-4.682199913456996	1.0	-5.1605157432624775	1.0		0.0	-4.0930931015706555	1.0	-4.57308292494262	2.0		0.0	-4.9033978350824245	2.0	-0.34495337106725654	1.0	-4.192633576469555	1.0	-4.679741181029732	1.0	-5.253536243418819	2.0	-6.272364588401206	1.0	-9.73162375402002	1.0		0.0	-7.191575917488759	2.0		0.0	-9.899346372066375	1.0
samp_87	-0.0814357979253067	-4.909136529108014	1.0	-2.170625091047033	1.0	-4.772832546904648	1.0		0.0	-0.5849134123333645	1.0		0.0	-4.65874144247442	3.0	-5.132778700946752	1.0		0.0		0.0	-4.5527593570383225	1.0	-7.725025777192721	1.0	-4.876964317683701	1.0	-0.3446260640549785	2.0		0.0		0.0	-5.223584308592883	2.0		0.0	-9.659569066489713	1.0	-9.903449137490469	3.0		0.0	-5.291637280257696	2.0	-9.829424807065646	2.0
samp_88	-0.21104148934446149	-4.884074091666789	1.0		0.0	-4.749094128378424	1.0	-4.5185342627809995	2.0	-0.5848720120626901	1.0	-4.647093237214377	1.0	-4.636103672811407	3.0	-5.106327809528664	4.0	-1.5183000337142563	1.0		0.0	-4.532891716696268	3.0	-7.67940912073393	1.0		0.0	-0.34426290299115153	1.0	-4.153173503400426	1.0		0.0		0.0		0.0		0.0		0.0	-7.106322123183966	1.0	-5.263781003233033	1.0	-9.764349327070146	1.0
samp_89	0.09965584207977678		0.0	-2.164864660511434	4.0	-4.8027513016819015	2.0	-4.566352444438194	1.0	-0.5849287977294468	4.0		0.0	-4.687171439499637	1.0		0.0	-1.511598111993302	1.0		0.0		0.0	-7.785222787939875	3.0	-4.909032448501434	1.0	-0.3450208184850439	1.0	-4.196837446033955	1.0	-4.684909977982198	2.0		0.0		0.0	-9.747263116852245	1.0		0.0		0.0		0.0	-9.914521265065527	1.0
samp_90	0.06059621243353182	-4.934353035047871	1.0	-2.1660636117232923	1.0	-4.796611427854373	2.0	-4.5609321398565195	1.0	-0.5849272963973527	1.0		0.0	-4.681350297035179	1.0		0.0		0.0		0.0	-4.572348557945676	3.0	-7.772601016129924	2.0		0.0	-0.3449441506510832	2.0	-4.191914379910679	1.0	-4.678857242855838	2.0	-5.252435078096518	2.0		0.0	-9.728946069893517	1.0	-9.97202499745446	1.0	-7.189937415271224	1.0		0.0	-9.896752981821471	1.0
samp_91	-0.12095579763593516	-4.901705742499663	1.0	-2.1719411864277287	1.0	-4.765802774463687	2.0	-4.533528376976154	1.0	-0.5848956736032016	1.0		0.0	-4.652051889526714	1.0	-5.124920052178306	3.0		0.0	-4.077251836425033	3.0		0.0		0.0	-4.869465050586542	1.0	-0.344537206257653	1.0	-4.166921326965482	1.0	-4.648485720082884	3.0	-5.21513263899959	2.0		0.0	-9.639480698487814	1.0		0.0		0.0		0.0	-9.809958189685041	1.0
samp_92	0.3618099596153441	-4.980417029030984	2.0	-2.1574689448060576	1.0		0.0	-4.59866531014031	1.0		0.0	-4.73870232497565	1.0		0.0		0.0	-1.5070057767683407	1.0	-4.111573069203936	1.0		0.0	-7.86458904529631	2.0		0.0		0.0		0.0	-4.7213369219630215	1.0	-5.305969904262256	1.0	-6.338490608439054	4.0	-9.861300039485727	2.0	-10.102633233060066	1.0	-7.271795797158524	3.0	-5.372085663780571	1.0	-10.025175796047094	1.0
samp_93	0.36359639539565336	-4.980656936303706	1.0		0.0	-4.839962034828916	1.0	-4.5988655512846215	3.0		0.0	-4.738937082947166	2.0		0.0	-5.208897083649768	1.0	-1.506975855785988	1.0	-4.111663812925661	1.0		0.0	-7.8650870349926665	1.0	-4.949268653181914	2.0	-0.34545417345040386	1.0		0.0		0.0	-5.306257667659358	2.0	-6.338856873593824	3.0	-9.862022688563195	1.0	-10.103341368477132	1.0	-7.272254180028883	1.0		0.0	-10.025881413470268	1.0
