run	log_tbg	log_alphap	log_betap	b9E5_log_P	b9E5_weight	b9E8_log_P	b9E8_weight	b9F3_log_P	b9F3_weight	b9F4_log_P	b9F4_weight	b9F5_log_P	b9F5_weight	b9F6_log_P	b9F6_weight	b18F3_log_P	b18F3_weight	b18F8_log_P	b18F8_weight	b18F9_log_P	b18F9_weight	b18G1_log_P	b18G1_weight	b18G2_log_P	b18G2_weight	b18G6_log_P	b18G6_weight	b18G7_log_P	b18G7_weight	b18G9_log_P	b18G9_weight	b18H1_log_P	b18H1_weight	b18H3_log_P	b18H3_weight	b17E2_log_P	b17E2_weight
samp_75	-6.509610352610311	1.7012676651620007	0.005644320923477152	-0.5466810802878052	1.0		0.0	-8.946623066533547	1.0	-9.845634712377672	2.0		0.0		0.0	-6.316722242274135	1.0	-8.01304308526093	1.0	-3.1059703573828257	1.0	-7.360267363159339	1.0	-3.6137118927420975	1.0	-1.2210346957092617	1.0		0.0	-5.129121944084776	1.0	-4.649064652274366	1.0	-3.6675085337271316	3.0	-5.519245275518036	2.0
samp_76	-6.964109065679072	-14.430220775228753	16.276119052129584		0.0	-9.859411510033764	2.0	-8.931655211336185	1.0	-9.72597774508711	1.0	-9.129053983925507	1.0	-7.200137149060989	2.0	-6.38190975494	1.0	-8.028810731844919	1.0	-3.2561633503244884	3.0		0.0	-3.7463064064723377	1.0		0.0	-6.483804381092888	1.0		0.0	-4.739817371395476	1.0	-3.804828093130674	1.0	-5.59596921808714	1.0
samp_77	-6.699307510608273	1.8131985114570892	-0.013463622718135235	-0.5522486174244409	2.0		0.0	-8.95959880472313	1.0	-9.814937067174437	1.0	-9.16301683161246	1.0	-7.185523797101336	1.0		0.0	-8.037850931093075	1.0	-3.144647086185541	1.0	-7.394499985234177	1.0	-3.6537574718035963	1.0	-1.224116404000815	1.0		0.0		0.0	-4.692498836162206	2.0	-3.7071348613936275	2.0	-5.562762139273085	2.0
samp_78	-19.996383087610646	1.393775130890335	0.1324026833999453	-0.5660050016382591	2.0		0.0		0.0		0.0	-8.718700667545528	4.0		0.0	-6.194333878623662	1.0	-7.738012489884231	3.0	-3.0306783750267843	1.0		0.0		0.0	-1.2404340718122386	1.0	-6.29363092540086	1.0	-5.032324314611427	1.0		0.0	-3.589462257816272	2.0	-5.416517972899018	1.0
samp_79	-6.970224246123394	1.7445054490949208	0.015773236595394615	-0.5577527878937137	1.0		0.0	-8.87549562863329	1.0	-9.655518900700384	1.0	-9.071687749846507	1.0	-7.152734421353653	1.0	-6.33175609885846	2.0		0.0	-3.1293856772870217	2.0		0.0		0.0	-1.231697319568829	1.0	-6.433878296473576	3.0	-5.151726265801436	2.0		0.0	-3.69104912363529	1.0	-5.5403721535901385	1.0
samp_80	-7.649292556157732	1.465998405748865	0.1357161453847844		0.0	-9.488419890342332	1.0	-8.687512004182333	1.0		0.0	-8.86921223553646	1.0		0.0	-6.241808813664682	1.0	-7.830758669890374	1.0	-3.0656768947489956	2.0	-7.236160338473775	2.0		0.0	-1.2565970199614216	1.0	-6.342353856299921	1.0	-5.072479119901703	3.0		0.0		0.0	-5.458296187461096	3.0
samp_81	-7.015297768777336	2.0912611040377835	-0.29660873034537083		0.0	-9.801075894889271	3.0	-8.888421891678352	1.0	-9.663466861213642	1.0		0.0	-7.168372355746654	3.0		0.0	-7.990112629611076	1.0		0.0	-7.366277067186775	1.0	-3.6310200917048276	3.0	-1.1158224190845496	1.0	-6.448386437715512	1.0		0.0		0.0	-3.682139069399243	1.0	-5.552542090623877	1.0
samp_82	-6.53050251079553	1.6820873144003405	-0.07787138155442662		0.0		0.0		0.0	-9.75050281294649	1.0	-9.080388696976895	1.0	-7.089887492880483	1.0	-6.262498538763699	1.0	-7.945676407650254	1.0	-3.0557710068960136	2.0	-7.299968968816373	5.0		0.0	-1.173494897207796	2.0		0.0	-5.0769169430297	1.0	-4.597361299201597	1.0	-3.616160409872469	1.0		0.0
samp_83	-6.5315482160522675	1.8234019648226008	0.021856901858133885		0.0		0.0		0.0	-9.947862641754245	2.0	-9.242557326310443	1.0		0.0	-6.387954087110565	1.0		0.0	-3.1668647772479055	3.0	-7.4373439362580855	1.0		0.0	-1.2435747238719368	1.0	-6.491866697588304	1.0	-5.197404582534569	1.0	-4.716280698758668	3.0	-3.730150773710293	1.0	-5.588423962163326	2.0
samp_84	-6.931038710951241	-14.048741654239503	15.705855195414761		0.0	-9.733550382302877	2.0	-8.81893586620137	1.0	-9.593090044105175	3.0	-9.014737106468607	1.0	-7.101842462854142	2.0	-6.285134519798229	1.0	-7.9219633354625385	3.0	-3.157512184610233	1.0		0.0		0.0		0.0	-6.3867701272364545	1.0	-5.116828032574304	2.0		0.0		0.0		0.0
