run	log_tbg	log_alphap	log_betap	b3D3_log_P	b3D3_weight	b7G5_log_P	b7G5_weight	b7G6_log_P	b7G6_weight	b7G7_log_P	b7G7_weight	b7G8_log_P	b7G8_weight	b7G9_log_P	b7G9_weight	b7H1_log_P	b7H1_weight	b7H2_log_P	b7H2_weight	b7H3_log_P	b7H3_weight	b7H4_log_P	b7H4_weight	b7H5_log_P	b7H5_weight	b7H6_log_P	b7H6_weight	b7H7_log_P	b7H7_weight	b7H8_log_P	b7H8_weight	b7H9_log_P	b7H9_weight	b7I1_log_P	b7I1_weight	b7I2_log_P	b7I2_weight	b7I3_log_P	b7I3_weight	b7I4_log_P	b7I4_weight	b7I5_log_P	b7I5_weight	b7I7_log_P	b7I7_weight	b7I8_log_P	b7I8_weight	b7I9_log_P	b7I9_weight
samp_47	-7.343691999595355	3.6365316983261473	0.2099594349926578	-4.616295442052469	1.0	-9.610010227468242	1.0		0.0	-5.152058111286283	2.0		0.0		0.0		0.0	-4.880924721855905	1.0	-0.07260005285809491	2.0		0.0	-2.6028568055026016	1.0		0.0		0.0	-5.784843656691591	2.0	-5.370415162493	4.0		0.0	-3.8678331019426984	2.0		0.0	-7.910594696667879	1.0		0.0	-8.474863209382777	3.0	-10.852513930878958	2.0	-7.483185944305132	1.0
samp_48	-6.676643223854889	3.6250720261597187	0.2113899999102014	-4.615928908436269	1.0	-9.955240733650516	1.0		0.0	-5.15231989491507	1.0	-5.018973934223368	2.0		0.0	-3.1398229974137366	1.0	-4.880192284259925	1.0		0.0	-4.080904403414086	4.0	-2.6033445963371147	1.0	-4.081140400124492	2.0	-6.398068192685445	1.0		0.0	-5.370452548261046	2.0	-11.27392285191975	1.0	-3.866459108374904	1.0		0.0		0.0	-4.02412986382529	1.0	-8.535642078761931	1.0	-10.94542717556259	1.0	-7.542080014007868	1.0
samp_49	-6.021736394768418	4.187068362097653	-0.07327822042770145	-4.658608222031895	1.0	-10.549757466803033	3.0		0.0	-5.23725565170411	1.0		0.0	-2.3994422080859135	2.0		0.0		0.0		0.0	-4.102176315236242	2.0	-2.5560969937313867	2.0	-4.087417863588498	1.0		0.0	-5.909906525673264	2.0		0.0		0.0		0.0	-1.5727796954299043	1.0	-8.20851697265107	2.0	-4.034741381469624	4.0	-8.823983607142674	1.0	-11.27843313234167	1.0		0.0
samp_50	-5.469174814255457	4.192178961443301	-0.0817676807130591	-4.666125967632143	1.0	-10.718463070345909	1.0	-9.526742570165968	1.0		0.0	-5.110948067188547	1.0	-2.399715694839301	2.0	-3.074687674602775	3.0	-4.96303204241302	2.0	-0.052197893324196235	1.0	-4.10557279395969	3.0		0.0		0.0	-6.5885423799831235	1.0	-5.93212259638758	2.0	-5.488039295103538	2.0		0.0		0.0		0.0	-8.29856440300055	1.0	-4.038005021617505	1.0		0.0		0.0	-8.073716436349526	1.0
samp_51	-7.5870661685523215	3.5022543966353394	0.2580509357181187		0.0		0.0	-8.808734451775392	2.0	-5.11958065381769	1.0	-4.987562326948214	2.0	-2.4465753545306175	3.0		0.0	-4.850508291656765	2.0		0.0	-4.063286073262002	1.0	-2.6108620452589726	1.0		0.0	-6.348343129574726	1.0		0.0		0.0		0.0	-3.8488791847455186	2.0		0.0	-7.853404338566569	4.0	-4.0085446692448174	2.0		0.0	-10.733563650615482	1.0	-7.424185589535571	1.0
samp_52	-6.319229553413677	3.6746406230411193	0.12827831716340354	-4.594874469130393	2.0	-10.097718778556933	2.0	-9.080492030446115	1.0	-5.134665893337801	1.0	-5.001020269578966	1.0	-2.4208424547922407	1.0	-3.1133063407547827	1.0	-4.861681913110695	1.0		0.0	-4.059378354999196	2.0	-2.582558354456509	1.0	-4.058011893298409	1.0	-6.388780810286893	1.0		0.0	-5.354336945015664	1.0	-11.347011625032295	1.0	-3.8469003472534795	2.0	-1.6025713460772637	1.0		0.0	-4.00170751916922	1.0		0.0	-10.964925923690261	1.0	-7.575803357877853	1.0
samp_53	-6.531166239903673	3.893169030875592	0.08460125329468078	-4.643780676916874	2.0	-10.189069369235382	1.0	-9.1683660774199	2.0	-5.1978963393457045	1.0	-5.063491078410617	2.0	-2.4189799516047747	1.0		0.0	-4.921555934003073	1.0		0.0		0.0	-2.579638653395775	1.0		0.0		0.0	-5.847140532435275	1.0	-5.423982428959175	1.0		0.0	-3.886353864848779	1.0		0.0	-8.050390787829434	4.0	-4.036255982052798	4.0		0.0	-11.085285092276642	1.0		0.0
samp_54	-6.332109455067158	3.4010065186865015	0.20437811046271098		0.0	-9.880178225052383	3.0	-8.922973308652203	1.0	-5.0574246497125115	1.0		0.0	-2.42577053947221	1.0		0.0	-4.788480665668272	2.0	-0.0741156220007532	3.0	-4.009663926796756	1.0		0.0	-4.013461699466288	2.0		0.0		0.0	-5.270431128392852	2.0	-11.155217918102702	2.0		0.0		0.0		0.0	-3.9564159533856924	1.0	-8.425152994391466	1.0	-10.799263856354218	1.0	-7.451872091368562	2.0
samp_55	-5.871176421436458	3.7454406008406926	0.08045990956649032		0.0	-10.29975622281107	1.0		0.0	-5.146427765542469	1.0	-5.0114651908595125	2.0		0.0	-3.1029274196919685	1.0	-4.870803780855779	1.0		0.0	-4.060970943554876	2.0	-2.5741685762699356	2.0	-4.058062044672783	2.0	-6.416816661147344	1.0	-5.792319751325805	2.0		0.0	-11.531398455272416	1.0	-3.8490541537465783	1.0	-1.5945840298032556	1.0	-8.035408156519328	1.0	-4.002057447028989	2.0		0.0		0.0	-7.693624860802831	2.0
samp_56	-7.222944393151456	3.3058214331352613	0.17126916190276967	-4.477030821135413	1.0	-9.343671913351201	1.0	-8.678955889578326	1.0	-4.994485897563061	1.0		0.0	-2.4069605330702446	2.0	-3.087049730724301	3.0	-4.72888718271563	1.0	-0.06992233703155273	1.0	-3.9605971459345097	1.0		0.0		0.0		0.0		0.0	-5.205675825980976	2.0	-10.73576573738085	1.0	-3.749703209834608	1.0	-1.6151813089000564	1.0	-7.715636148104405	1.0	-3.908590362456835	1.0		0.0	-10.570275732441981	2.0	-7.292287585333041	2.0
