run	log_tbg	log_alphap	log_betap	b9D1_log_P	b9D1_weight	b9D2_log_P	b9D2_weight	b9D3_log_P	b9D3_weight	b9D4_log_P	b9D4_weight	b9D6_log_P	b9D6_weight	b9D8_log_P	b9D8_weight	b9D9_log_P	b9D9_weight	b9E1_log_P	b9E1_weight	b9E2_log_P	b9E2_weight	b9E3_log_P	b9E3_weight	b18A8_log_P	b18A8_weight	b18A9_log_P	b18A9_weight	b18B2_log_P	b18B2_weight	b18B5_log_P	b18B5_weight	b18B6_log_P	b18B6_weight	b18B7_log_P	b18B7_weight	b18B8_log_P	b18B8_weight	b18C1_log_P	b18C1_weight	b18C6_log_P	b18C6_weight	b18C7_log_P	b18C7_weight
samp_17	-24.970409056385215	0.8975374310663363	0.3438084801533524	-6.412575232210337	1.0		0.0	-1.524520030826645	1.0	-7.811176995569733	1.0	-7.812508833309467	1.0	-5.480382929339487	1.0		0.0	-8.899606718041566	1.0	-8.244723031639044	1.0	-8.227182510815075	1.0	-2.300104203175454	1.0		0.0	-6.657242788206188	3.0	-5.903047222775832	3.0		0.0		0.0	-4.277467271400149	1.0	-3.8378048090805645	2.0	-6.228988644616599	2.0		0.0
samp_18	-22.958631771117467	2.1282733485747483	-0.7464934710994036		0.0	-6.952866055718378	2.0		0.0		0.0	-7.881643259956555	2.0		0.0		0.0	-8.969474153732008	2.0	-8.314409347243597	1.0	-8.296851464363817	3.0	-2.1482629410346425	3.0	-3.181227616094539	1.0	-6.7236231351135265	2.0	-5.964520309245466	1.0		0.0	-4.4967721987802225	1.0		0.0		0.0	-6.291989921713024	1.0	-5.734439358327004	1.0
samp_19	-23.37337097638552	1.1062162621411846	0.21093243731833747	-6.450116114307794	1.0	-6.922813931925407	1.0	-1.5273225819426943	2.0	-7.849003652686773	1.0	-7.850403075240715	1.0	-5.517364864313309	1.0		0.0	-8.937481216510552	1.0	-8.282612376452807	1.0	-8.26507435074581	1.0	-2.3139620623113086	1.0	-3.2567532847664196	1.0	-6.694805845361113	2.0	-5.940203668231664	1.0		0.0	-4.495438916277989	4.0		0.0		0.0		0.0	-5.711663418899674	1.0
samp_20	-23.741606050391514	1.0393350307894975	0.3391967120580016	-6.481009989065586	1.0	-6.953610056456453	1.0	-1.5766195346886935	3.0		0.0	-7.881151763524005	1.0		0.0	-9.367908444373857	1.0	-8.968191413365123	2.0	-8.313329856525812	1.0		0.0		0.0	-3.293088733216286	1.0	-6.725661869253218	2.0		0.0	-7.1179217242220165	2.0		0.0		0.0	-3.903958805911479	2.0	-6.297249436751323	3.0		0.0
samp_21	-23.33911139524639	2.5622544409565804	-1.089346434507786		0.0	-6.996525311339017	2.0		0.0	-7.925331142559678	2.0	-7.926329683245337	1.0	-5.578310040922365	2.0	-9.414763795316263	1.0		0.0	-8.3595259101654	2.0		0.0	-2.0937749255847007	2.0	-3.149295669344447	3.0	-6.766296837303273	1.0	-6.003513611378936	1.0		0.0	-4.517418867179967	2.0	-4.325205975976468	1.0		0.0		0.0		0.0
samp_22	-23.88494603062463	1.872083841138752	-0.4202398246874725		0.0	-6.988737174729649	1.0	-1.4332994180051446	1.0		0.0		0.0		0.0	-9.404436949561815	3.0	-9.004619660313328	2.0	-8.34963612601769	1.0	-8.33208018849349	1.0	-2.2416903418359326	1.0	-3.254118055878965	2.0	-6.759953556709585	1.0	-6.002541158099478	2.0	-7.1537989338377885	1.0	-4.5431468978805	2.0	-4.35638543827894	2.0		0.0		0.0		0.0
samp_23	-21.081895624707883	0.8552486095300746	0.4962182936325597		0.0	-6.940273325750177	1.0	-1.5972325619987497	3.0	-7.866254973772577	2.0	-7.867710136710131	3.0	-5.535726744795611	1.0		0.0	-8.95468436759419	1.0		0.0	-8.282319617986863	1.0		0.0		0.0	-6.7124214014056225	1.0		0.0	-7.104516197577284	1.0	-4.5168355697966796	2.0		0.0		0.0	-6.28426076216093	2.0	-5.730094094225009	2.0
samp_24	-20.274482266600803	3.723408316249727	-2.011762002254145	-6.618210837374519	2.0	-7.104044401858351	3.0		0.0		0.0		0.0	-5.651499289106188	3.0	-9.533114340511807	1.0	-9.132551484410282	1.0	-8.4760872892792	2.0		0.0		0.0		0.0		0.0		0.0	-7.275596214004449	3.0		0.0	-4.292418579216018	2.0	-3.7891454463234204	2.0	-6.419013915495738	1.0		0.0
samp_25	-22.272836025935103	1.373583513248588	0.04456657892583533	-6.499953402948323	2.0		0.0	-1.5257208770067288	1.0	-7.899372955331552	2.0	-7.9007333302676646	2.0		0.0	-9.387667067821972	1.0		0.0	-8.333044344616921	2.0	-8.315496680137523	2.0		0.0	-3.289358781608105	1.0	-6.7447789751115454	1.0	-5.98947377312844	1.0	-7.137495086416652	1.0	-4.541039547731581	1.0		0.0		0.0	-6.3157398049338065	1.0	-5.760669346408145	2.0
samp_26	-20.92537106948376	-13.585752945273622	14.858079554164242	-6.430098732463883	2.0	-6.9017649072766964	1.0	-1.7760240654380541	1.0		0.0	-7.828627508892079	2.0	-5.500181589088761	2.0		0.0		0.0	-8.260520707535212	1.0		0.0		0.0		0.0	-6.674421923364878	2.0	-5.922355187123533	1.0	-7.065317677735021	2.0		0.0		0.0		0.0	-6.24764640594455	4.0	-5.694734281699894	2.0
